Grades,River.Type,Catchments,River.Name,Site (Name_2018),2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Site Code,Lon,Lat
,T,HO,Anrim cheon,Ssangrim (Goryung Gwiwon gyo),,,,,,,,87,91,94,93,99,101,,,
4,T,HO,HO,Goryung,,,,,,71,,,,,,,,,,
1,T,HO,HO,Gaejin 2 (Goryung Dojin gyo),59,,,47,74,72,83,88,92,95,94,100,102,HT_HO1,128.3372222,35.67888889
1,M,ND,ND,Ibang (Hapcheon Yulji gyo),,,52,,77,73,,,95,98,97,103,105,HM13,128.3583333,35.61222222
,,,,Daeam,,46,,,,,,,,,,,,,,
1,T,HG,HG,Jookgo (Hapcheon Hwanggang gyo),64,,53,50,78,74,87,91,96,99,98,104,107,HT_HG1,128.2927778,35.57194444
1,M,ND,ND,Jeokpo kyo (Hapcheon Jeokpo gyo),65,47,,51,79,75,88,92,97,100,99,105,108,HM14,128.3591667,35.5275
4,Undistributed,,,Daegok,,48,,,,,,,,,,,,,,
,T,ND,Yoogok cheon,Segan (Uiryeong Segan gyo),,,54,,,,,,98,101,100,106,109,,,
4,T,NG,NG,Saengcho (Sancheong Hachonri),,,,,,,,,,,,107,106,,,
4,T,NG,NG,Danseong (Sancheong Mukgok gyo),,,,,,76,89,93,99,102,101,108,110,,,
4,T,NG,Youngcheon Gang,Doomoon (Goseong Dumoon gyo),,,,,,77,,,100,103,102,109,111,,,
4,T,NG,Youngcheon Gang,Moonsan (Jinju Oksan gyo),,,,,,,,,,,,,112,,,
1,T,NG,NG,Deokgok (Jinju Wolgang gyo),,,,,,78,90,94,101,104,103,110,113,HT_NG1,128.1988889,35.2225
1,T,NG,NG,Jeongam (Uiryung Jeongam gyo),66,49,55,,80,79,91,95,102,105,104,111,114,HT_NG2,128.2952778,35.31333333
1,T,NG,NG,Georyong gang (Uiryung Seongsanri),67,,,,,,92,96,103,106,105,112,115,HT_NG3,128.4291667,35.39083333
4,Undistributed,,,Pangok,,,56,,,,,,,,,,,,,
1,M,ND,ND,Jindong (Hamamgun Gyenaeri),68,50,57,52,81,81,93,97,104,107,106,113,116,HM15,128.4836111,35.38333333
1,M,ND,ND,Limhaejin (Changnyunggun Cheongamri),69,,58,,,,94,98,105,108,107,114,117,HM16,128.6008333,35.39555556
,Undistributed,,Cheongdo Cheon,Cheongdo,,,,53,,,,99,,,,,,,,
,T,MR,Danjang cheon,Geumgok (Miryang Geumgokri),,,,,,,,,107,111,109,116,119,,,
,T,MR,MR,Sangdong (Miryang Sangdong gyo),,,,,,82,,100,106,110,108,115,118,,,
1,T,MR,MR,Miryang 1 (Miryang Yongpyeongdong),,,,54,,83,96,101,108,112,110,117,120,HT_MR1,128.7788889,35.49444444
4,Undistributed,,Cheongdo Cheon,Boogok,,,,,,,95,,,,,,,,,
4,Undistributed,,,Susan,,,59,,,,,,,,,,,,,
4,Undistributed,,,Sammun,,,,55,,,,,,,,,,,,
4,Undistributed,,MR,Miryang 2,72,,,56,82,,,,,,,,,,,
1,M,ND,ND,Samrangjin (Miryang Samrangjin gyo),74,,,57,83,,97,102,109,113,111,118,121,HM17,128.8216667,35.3825
4,Undistributed,,Yangsan cheon,Soto (Yangsan Hyochung gyo),,,,,84,85,98,103,110,114,112,119,122,,,
4,Undistributed,,Yangsan cheon,Yangsan,,,,,85,,,104,,,,,,,,
4,Undistributed,,,Wolchon,75,,,,,,,,,,,,,,,
1,M,ND,ND,Gupo (Busan Gupodae gyo),79,,,,86,86,99,105,111,115,113,120,123,HM18,128.9936111,35.20361111
