Date,D_ANDO,D_IMHA,D_SUDK,D_YENJ,D_GNWE,D_GMBH,D_YEOC,D_HAPC,D_NAMG,D_MIRY
2006-04-18,25.1,4.77,NA,NA,NA,NA,NA,18.3,25.3,1.18
2006-04-19,25.5,8.44,NA,NA,NA,NA,NA,17.6,25.3,1.1
2006-04-20,25,4.88,NA,NA,NA,NA,NA,17.4,25.3,1.44
2006-04-21,25,4.84,NA,NA,NA,NA,NA,18.3,25.3,1.29
2006-04-22,25.5,8.48,NA,NA,NA,NA,NA,18.2,25.3,1.11
2006-04-23,25,4.85,NA,NA,NA,NA,NA,19.1,25.3,1.12
2006-04-24,25,4.86,NA,NA,NA,NA,NA,18.4,25.3,1.12
2006-04-25,25.2,8.47,NA,NA,NA,NA,NA,18.5,25.1,1.3
2006-04-26,24.9,4.87,NA,NA,NA,NA,NA,18.3,25.2,1.4
2006-04-27,25,4.81,NA,NA,NA,NA,NA,18.2,25.3,1.83
2006-04-28,25,8.44,NA,NA,NA,NA,NA,18.2,25.3,1.35
2006-04-29,25.2,4.82,NA,NA,NA,NA,NA,18.3,25.4,1.36
2006-04-30,25.8,4.82,NA,NA,NA,NA,NA,18.3,25.4,1.35
2006-05-01,35.1,9.98,NA,NA,NA,NA,NA,19.3,25.3,1.37
2006-05-02,35.2,9.98,NA,NA,NA,NA,NA,19.3,25.3,1.38
2006-05-03,34.8,9.93,NA,NA,NA,NA,NA,19.2,25.3,1.38
2006-05-04,35,10,NA,NA,NA,NA,NA,19.2,25.3,1.34
2006-05-05,35.1,10,NA,NA,NA,NA,NA,19.2,25.3,1.3
2006-05-06,34.7,9.9,NA,NA,NA,NA,NA,19.2,25.6,1.35
2006-05-07,35,10.3,NA,NA,NA,NA,NA,19.3,29.1,1.39
2006-05-08,35.1,10,NA,NA,NA,NA,NA,18.5,38.9,1.36
2006-05-09,35.1,9.9,NA,NA,NA,NA,NA,19.2,40.8,1.33
2006-05-10,34.9,9.9,NA,NA,NA,NA,NA,19.3,56.1,1.35
2006-05-11,34.4,9.82,NA,NA,NA,NA,NA,19.2,77.7,1.67
2006-05-12,34.9,9.9,NA,NA,NA,NA,NA,19.2,60.9,1.78
2006-05-13,35.1,15,NA,NA,NA,NA,NA,19.3,41.5,1.75
2006-05-14,45.8,15,NA,NA,NA,NA,NA,19.2,41.3,1.75
2006-05-15,0.7,14.94,NA,NA,NA,NA,NA,19.2,41.5,1.75
2006-05-16,0,14.85,NA,NA,NA,NA,NA,19.3,53.4,1.75
2006-05-17,30.3,14.92,NA,NA,NA,NA,NA,19.6,79,1.75
2006-05-18,35.1,14.71,NA,NA,NA,NA,NA,19.6,80.1,1.76
2006-05-19,34.9,14.79,NA,NA,NA,NA,NA,19.1,81.3,1.77
2006-05-20,35,14.93,NA,NA,NA,NA,NA,19.4,80.3,1.74
2006-05-21,35.3,14.93,NA,NA,NA,NA,NA,19.6,80.9,1.74
2006-05-22,34.9,14.8,NA,NA,NA,NA,NA,19.3,81.2,1.76
2006-05-23,34.7,15.04,NA,NA,NA,NA,NA,19.3,81.5,1.78
2006-05-24,34.8,14.94,NA,NA,NA,NA,NA,19.3,82.9,1.78
2006-05-25,34.7,16.84,NA,NA,NA,NA,NA,19.5,172.17,1.75
2006-05-26,35,15.54,NA,NA,NA,NA,NA,25.4,268.4,1.74
2006-05-27,34.9,13.74,NA,NA,NA,NA,NA,25.6,269.61,1.7
2006-05-28,35.1,14.95,NA,NA,NA,NA,NA,24.8,180.51,1.73
2006-05-29,35,15.05,NA,NA,NA,NA,NA,25.5,87.3,1.74
2006-05-30,35.1,14.95,NA,NA,NA,NA,NA,25.6,76.4,1.67
2006-05-31,34.9,15.14,NA,NA,NA,NA,NA,25.3,88.6,1.65
2006-06-01,49.7,19.31,NA,NA,NA,NA,NA,25.4,72.6,1.7
2006-06-02,49,19.91,NA,NA,NA,NA,NA,25.5,77.83,2.59
2006-06-03,50.7,19.76,NA,NA,NA,NA,NA,25.3,85.91,2.75
2006-06-04,48.7,20.01,NA,NA,NA,NA,NA,23.8,89.3,2.83
2006-06-05,49.6,19.98,NA,NA,NA,NA,NA,25.5,70.9,2.85
2006-06-06,49.6,19.89,NA,NA,NA,NA,NA,25.3,91.8,2.79
2006-06-07,49.9,20.18,NA,NA,NA,NA,NA,25.4,91.72,2.86
2006-06-08,49.9,19.98,NA,NA,NA,NA,NA,25.6,94.6,2.91
2006-06-09,50,19.87,NA,NA,NA,NA,NA,25.4,75.31,2.88
2006-06-10,46.5,19.89,NA,NA,NA,NA,NA,25.3,50.2,2.9
2006-06-11,50,19.99,NA,NA,NA,NA,NA,40.2,50.2,2.89
2006-06-12,49.8,19.67,NA,NA,NA,NA,NA,40.1,48.2,2.91
2006-06-13,50,21.27,NA,NA,NA,NA,NA,40.9,48.8,2.87
2006-06-14,50.1,20.06,NA,NA,NA,NA,NA,38.9,68.7,2.81
